website,domain,school_name,phone,grades,csz,street_address
http://www.abcusd.k12.ca.us,abcusd.k12.ca.us,Abc Unified School District, (562) 926-5566,PK-12,"Cerritos, CA 90703-1838",16700 Norwalk Boulevard
http://www.humboldt.k12.ca.us/arcata_sd/,humboldt.k12.ca.us,Arcata Elementary, (707) 822-0351,K-8,"Arcata, CA 95521-6909",1435 Buttermilk Lane
http://www.ausd.k12.ca.us,ausd.k12.ca.us,Arcadia Unified, (626) 821-8300,K-12,"Arcadia, CA 91006-3703",150 South 3rd Avenue
http://www.avusd.org,avusd.org,Apple Valley Unified, (760) 247-8001,K-12,"Apple Valley, CA 92308-7256",12555 Navajo Road
http://www.antioch.k12.ca.us,antioch.k12.ca.us,Antioch Unified School District, (925) 779-7500,K-12,"Antioch, CA 94509-1259",510 G Street
http://www.avdistrict.org,avdistrict.org,Antelope Valley Union High School District, (661) 948-7655,9-12,"Lancaster, CA 93534-3226",44811 N. Sierra Highway
http://www.avrop.avhsd.org,avrop.avhsd.org,Antelope Valley Rop, (661) 575-1026,9-12,"Palmdale, CA 93550",1156 East Avenue S
http://aesd-ca.schoolloop.com,aesd-ca.schoolloop.com,Antelope Elementary, (530) 527-1272,K-8,"Red Bluff, CA 96080-8871",22630 Antelope Boulevard
http://www.avusd.k12.ca.us,avusd.k12.ca.us,Anderson Valley Unified, (707) 895-3774,K-12,"Boonville, CA 95415-9101",12300 Anderson Valley Way
http://www.auhsd.net,auhsd.net,Anderson Union High, (530) 378-0568,9-12,"Anderson, CA 96007-3313",1469 Ferry Street
http://www.auhsd.us,auhsd.us,Anaheim Union High, (714) 999-3511,K-12,"Anaheim, CA 92803-3520",501 Crescent Way
http://www.acsd.k12.ca.us,acsd.k12.ca.us,Anaheim City, (714) 517-7500,PK-6,"Anaheim, CA 92805-5749",1001 South East Street
http://www.amadorcoe.org,amadorcoe.org,Amador County Unified, (209) 223-1750,K-12,"Jackson, CA 95642-2020",217 Rex Avenue
,,Amador County Rop, (209) 267-5497,12,"Diamond Springs, CA 95619",217 Rex Avenue
http://www.amadorcoe.org/,amadorcoe.org,Amador County Office Of Education, (209) 257-5353,K-12,"Jackson, CA 95642-2020",217 Rex Avenue
http://www.alvord.k12.ca.us,alvord.k12.ca.us,Alvord Unified School District, (951) 509-5070,K-12,"Riverside, CA 92505-1349",10365 Keller Avenue
,,Alvina Elementary, (559) 864-9411,K-8,"Caruthers, CA 93609-9710",295 West Saginaw Avenue
http://www.adusd.k12.ca.us,adusd.k12.ca.us,Alview-Dairyland Union Elementary, (559) 665-2394,K-8,"Chowchilla, CA 93610-9049",12861 Avenue 18 1/2
http://www.arusd.org,arusd.org,Alum Rock Union Elementary School District, (408) 928-6800,PK-8,"San Jose, CA 95127-2322",2930 Gay Avenue
http://www.alta.k12.ca.us,alta.k12.ca.us,Alta-Dutch Flat Union Elementary, (530) 389-8283,K-8,"Alta, CA 95701-0958",34050 Alta-Bonny Nook Road
http://www.alta-vista.k12.ca.us,alta-vista.k12.ca.us,Alta Vista Elementary, (559) 782-5700,K-8,"Porterville, CA 93257-5225",2293 East Crabtree Avenue
http://www.alsd.k12.ca.us,alsd.k12.ca.us,Alta Loma Elementary, (909) 484-5151,K-8,"Alta Loma, CA 91701-5821",9390 Base Line Road
http://www.alpineschools.net,alpineschools.net,Alpine Union Elementary, (619) 445-3236,PK-8,"Alpine, CA 91901-2104",1323 Administration Way
http://www.alpinecoe.k12.ca.us,alpinecoe.k12.ca.us,Alpine County Unified, (530) 694-2230,K-12,"Markleeville, CA 96120-9522",43 Hawkside Drive
http://www.alpinecoe.k12.ca.us,alpinecoe.k12.ca.us,Alpine County Office Of Education, (530) 694-2230,1-12,"Markleeville, CA 96120-9522",43 Hawkside Drive
http://www.tcoe.org/districts/alpaugh.shtm,tcoe.org,Alpaugh Unified, (559) 949-8413,K-12,"Alpaugh, CA 93201-0009",5313 Road 39
http://www.tcoe.org/districts/allensworth.shtm,tcoe.org,Allensworth Elementary, (661) 849-2401,K-8,"Allensworth, CA 93219-9709",3320 Young Road
http://www.alisal.org,alisal.org,Alisal Union, (831) 753-5700,K-8,"Salinas, CA 93905-2831",1205 East Market Street
http://www.ausd.us,ausd.us,Alhambra Unified School District, (626) 943-3000,K-12,"Alhambra, CA 91803",1515 West Mission Road
http://www.alexandervalleyusd.org,alexandervalleyusd.org,Alexander Valley Union Elementary, (707) 433-1375,K-6,"Healdsburg, CA 95448-9020",8511 Highway 128
http://www.ausdk12.org,ausdk12.org,Albany City Unified, (510) 558-3750,K-12,"Albany, CA 94706-2213",1051 Monroe Street
http://www.acoe.org,acoe.org,Alameda County Office Of Education, (510) 887-0152,PK-12,"Hayward, CA 94544-1136",313 West Winton Avenue
http://www.alameda.k12.ca.us,alameda.k12.ca.us,Alameda City Unified School District, (510) 337-7000,K-12,"Alameda, CA 94501-1037",2060 Challenger Dr
http://www.aesd.net,aesd.net,Adelanto Elementary, (760) 246-8691,PK-12,"Adelanto, CA 92301-0070",11824 Air Expressway
http://www.aadusd.k12.ca.us,aadusd.k12.ca.us,Acton-Agua Dulce Unified, (661) 269-5999,PK-12,"Acton, CA 93510-2620",32248 North Crown Valley Road
http://www.bowmancharter.org,bowmancharter.org,Ackerman Elementary, (530) 885-1974,K-8,"Auburn, CA 95603-3147",13777 Bowman Road
http://www.acalanes.k12.ca.us,acalanes.k12.ca.us,Acalanes Union High, (925) 280-3900,9-12,"Lafayette, CA 94549-2623",1212 Pleasant Hill Road
http://www.beniciaunified.org,beniciaunified.org,Benicia Unified, (707) 747-8300,K-12,"Benicia, CA 94510-3437",350 East K Street
