website,domain,school_name,phone,grades,csz,street_address
,,Abbott Union Free School District, (914) 428-3043,K-2,"Irvington, NY 10533",100 North Broadway
,,Amherst Central School District, (716) 362-3051,PK-12,"Amherst, NY 14226",55 Kings Highway
,,Amityville Union Free School District, (631) 565-6019,PK-12,"Amityville, NY 11701",150 Park Avenue
,,Argyle Central School District, (518) 638-8243,K-12,"Argyle, NY 12809",5023 New York 40
,,Andover Central School District, (607) 478-8491,PK-12,"Andover, NY 14806",3135 Elm St
,,Andes Central School District, (845) 676-3167,PK-12,"Delhi, NY 13753",85 Delaware Avenue
,,Amagansett Union Free School District, (631) 267-3572,PK-6,"Amagansett, NY 11930",320 Main Street
,,Amsterdam City School District, (518) 843-3180,PK-12,"Amsterdam, NY 12010",140 Saratoga Avenue
,,Ardsley Union Free School District, (914) 295-5510,K-12,"Ardsley, NY 10502",500 Farm Road
,,Altmar-Parish-Williamstown Central School District, (315) 625-5251,PK-12,"Parish, NY 13131",639 County Route 22
,,Alfred-Almond Central School District, (607) 276-6500,PK-12,"Almond, NY 14804",6795 Route 21 South
,,Allegany-Limestone Central School District, (716) 375-6600,K-12,"Allegany, NY 14706",3131 5 Mile Road
,,Alexandria Central School District, (315) 482-9971,PK-12,"Alexandria Bay, NY 13607",34 Bolton Avenue
,,Schalmont Central School District, (518) 355-9200,K-12,"Schenectady, NY 12306",4 Sabre Drive
,,Alexander Central School District, (585) 591-1551,PK-12,"Alexander, NY 14005",3314 Buffalo Street
,,Arkport Central School District, (607) 295-7471,K-12,"Arkport, NY 14807",35 East Avenue
,,Yorkshire-Pioneer Central School District, (716) 492-9304,PK-12,"Delevan, NY 14042",12125 Countyline Road
,,York Central School District, (585) 243-1730,K-12,"Piffard, NY 14533",2578 Genesee Street
,,Yorktown Central School District, (914) 243-8000,K-12,"Yorktown Heights, NY 10598",2725 Crompond Road
,,Yonkers City School District, (914) 376-8100,PK-12,"Yonkers, NY 10701",1 Larkin Ctr
,,Wynantskill Union Free School District, (518) 283-4679,K-8,"Troy, NY 12180",25 East Avenue
,,Wyoming Central School District, (585) 495-6222,K-8,"Wyoming, NY 14591",1225 New York 19
,,Alden Central School District, (716) 937-9116,K-12,"Alden, NY 14004",13190 Park Street
,,Worcester Central School District, (607) 397-8785,PK-12,"Worcester, NY 12197",198 Main Street
,,Windsor Central School District, (607) 655-8216,PK-12,"Windsor, NY 13865",215 Main Street
,,Windham-Ashland-Jewett Central School District, (518) 734-3400,K-12,"Windham, NY 12496",5411 New York 23
,,Wilson Central School District, (716) 751-9341,PK-12,"Wilson, NY 14172",412 Lake Street
,,Willsboro Central School District, (518) 963-4456,PK-12,"Willsboro, NY 12996",29 School Lane
,,Williamson Central School District, (315) 589-9661,PK-12,"Williamson, NY 14589",4184 Miller Street
,,Whitney Point Central School District, (607) 692-8313,PK-12,"Whitney Point, NY 13862",10 Keibel Road
,,Whitesville Central School District, (607) 356-3301,PK-12,"Whitesville, NY 14897",692 Main Street
,,Williamsville Central School District, (716) 626-8005,K-12,"East Amherst, NY 14051",105 Casey Road
,,William Floyd Union Free School District, (631) 874-1201,K-12,"Mastic Beach, NY 11951",240 Mastic Beach Road
,,Whitehall Central School District, (518) 499-1772,PK-12,"Whitehall, NY 12887",87 Buckley Road
,,Whitesboro Central School District, (315) 266-3303,K-12,"Whitesboro, NY 13492",65 Oriskany Boulevard
,,White Plains City School District, (914) 422-2019,K-12,"White Plains, NY 10605",5 Homeside Lane
,,Wyandanch Union Free School District, (631) 870-0401,PK-12,"Wyandanch, NY 11798",1445 Straight Path
,,Wheelerville Union Free School District, (518) 835-2171,PK-8,"Caroga Lake, NY 12032",2417 State Hwy 10
,,Wheatland-Chili Central School District, (585) 889-6246,K-12,"Scottsville, NY 14546",13 Beckwith Avenue
,,Westport Central School District, (518) 962-8244,K-12,"Westport, NY 12993",25 Sisco Street
,,Westmoreland Central School District, (315) 557-2614,K-12,"Westmoreland, NY 13490",5176 New York 233
,,Westhampton Beach Union Free School District, (631) 288-3800,K-12,"Westhampton Beach, NY 11978",340 Mill Road
,,Westhill Central School District, (315) 426-3218,K-12,"Syracuse, NY 13219",400 Walberta Road
,,Westfield Central School District, (716) 326-2151,K-12,"Westfield, NY 14787",203 East Main Street
,,Westbury Union Free School District, (516) 876-5016,K-12,"Old Westbury, NY 11568",2 Hitchcock Lane
,,West Valley Central School District, (716) 942-3293,PK-12,"West Valley, NY 14171",5359 School Street
,,West Seneca Central School District, (716) 677-3101,PK-12,"West Seneca, NY 14224",1397 Orchard Park Road
,,West Genesee Central School District, (315) 487-4562,K-12,"Camillus, NY 13031",300 Sanderson Drive
,,West Park Union Free School District, (845) 384-6710,K-2,"West Park, NY 12493",2112 Route 9w
,,West Hempstead Union Free School District, (516) 390-3107,K-12,"West Hempstead, NY 11552",252 Chestnut Street
,,West Islip Union Free School District, (631) 930-1560,K-12,"West Islip, NY 11795",100 Sherman Avenue
,,West Irondequoit Central School District, (585) 336-2983,K-12,"Irondequoit, NY 14617",321 List Avenue
,,West Babylon Union Free School District, (631) 376-7001,K-12,"West Babylon, NY 11704",10 Farmingdale Road
,,Webster Central School District, (585) 216-0001,PK-12,"Webster, NY 14580",119 South Avenue
,,Wellsville Central School District, (585) 596-2170,PK-12,"Wellsville, NY 14895",126 West State Street
,,Wells Central School District, (518) 924-6000,PK-12,"Wells, NY 12190",1571 New York 30
,,Weedsport Central School District, (315) 834-6637,K-12,"Weedsport, NY 13166",2821 East Brutus Street
,,Wayne Central School District, (315) 524-1001,K-12,"Ontario, NY 14519",6200 Ontario Center Road
,,Waverly Central School District, (607) 565-2841,PK-12,"Waverly, NY 14892",15 Frederick Street
,,Watkins Glen Central School District, (607) 535-3220,PK-12,"Watkins Glen, NY 14891",303 12th Street
,,Watervliet City School District, (518) 629-3201,K-12,"Watervliet, NY 12189",1245 Hillside Drive
,,Waterville Central School District, (315) 841-3910,K-12,"Waterville, NY 13480",381 Madison Street
,,Watertown City School District, (315) 785-3700,K-12,"Watertown, NY 13601",1351 Washington Street
,,Waterloo Central School District, (315) 539-1500,PK-12,"Waterloo, NY 13165",109 Washington Street
,,West Canada Valley Central School District, (315) 845-6800,K-12,"Newport, NY 13416",5447 New York 28
,,Waterford-Halfmoon Union Free School District, (518) 237-0800,K-12,"Waterford, NY 12188",125 Middletown Road
,,Wayland-Cohocton Central School District, (585) 728-2211,PK-12,"Wayland, NY 14572",2350 New York 63
http://www.warwickvalleyschools.com/,warwickvalleyschools.com,Warwick Valley Central School District, (845) 987-3000,K-12,"Warwick, NY 10990",225 West St Ext
,,Warsaw Central School District, (585) 786-8000,K-12,"Warsaw, NY 14569",153 West Buffalo Street
,,Warrensburg Central School District, (518) 623-2861,PK-12,"Warrensburg, NY 12885",103 Schroon River Road
,,Washingtonville Central School District, (845) 497-4000,PK-12,"Washingtonville, NY 10992",52 West Main Street
,,Wappingers Central School District, (845) 298-5000,K-12,"Hopewell Junction, NY 12533",25 Corporate Park Drive
,,Wallkill Central School District, (845) 895-7101,K-12,"Wallkill, NY 12589",19 Main Street
,,Victor Central School District, (585) 924-3252,PK-12,"Victor, NY 14564",953 High Street
,,Wainscott Comn School District, (631) 537-1080,K-5,"Wainscott, NY 11975",47 Wainscott Main Street
,,Vestal Central School District, (607) 757-2241,K-12,"Vestal, NY 13850",201 Main Street
,,Voorheesville Central School District, (518) 765-3313,K-12,"Voorheesville, NY 12186",432 New Salem Road
,,Walton Central School District, (607) 865-4116,PK-12,"Walton, NY 13856",47-49 Stockton Avenue
,,Van Hornesville-Owen D Young Central School District, (315) 858-0729,K-12,"Van Hornesville, NY 13475",2316 State Route 80
,,Valley Stream Central High School District, (516) 872-5601,7-12,"Valley Stream, NY 11580",1 Kent Road
,,Valley Stream 24 Union Free School District, (516) 434-2830,K-6,"Valley Stream, NY 11581",75 Horton Avenue
,,Valley Stream 30 Union Free School District, (516) 434-3600,K-6,"Valley Stream, NY 11580",175 North Central Avenue
,,Valley Central School District (Montgomery), (845) 457-2400,K-12,"Montgomery, NY 12549",944 New York 17K
,,Valley Stream 13 Union Free School District, (516) 568-6100,K-6,"Valley Stream, NY 11580",585 North Corona Avenue
,,Valhalla Union Free School District, (914) 683-5040,K-12,"Valhalla, NY 10595",316 Columbus Avenue
,,Uniondale Union Free School District, (516) 560-8800,K-12,"Uniondale, NY 11553",933 Goodrich Street
,,Utica City School District, (315) 792-2222,K-12,"Utica, NY 13501",106 Memorial Parkway
,,Union-Endicott Central School District, (607) 757-2103,K-12,"Endicott, NY 13760",1100 East Main Street
,,Wantagh Union Free School District, (516) 679-6300,K-12,"Wantagh, NY 11793",3301 Beltagh Avenue
,,Union Springs Central School District, (315) 889-4101,PK-12,"Union Springs, NY 13160",239 Cayuga Street
,,Unadilla Valley Central School District, (607) 847-7500,PK-12,"New Berlin, NY 13411",4238 New York 8
,,Tuxedo Union Free School District, (845) 351-4799,K-12,"Tuxedo Park, NY 10987",Rt 17
,,Union Free School District-Tarrytowns, (914) 631-9404,K-12,"Tarrytown, NY 10591",200 Broadway
,,Tupper Lake Central School District, (518) 359-3371,PK-12,"Tupper Lake, NY 12986",294 Hosley Avenue
,,Tuckahoe Union Free School District, (914) 337-6600,K-12,"Eastchester, NY 10709",65 Siwanoy Boulevard
,,Tuckahoe Comn School District, (631) 283-3550,PK-8,"Southampton, NY 11968",468 Magee Street
,,Trumansburg Central School District, (607) 387-7551,K-12,"Trumansburg, NY 14886",100 Whig Street
,,Troy City School District, (518) 328-5085,PK-12,"Troy, NY 12180",475 1st Street
,,Tully Central School District, (315) 696-6204,K-12,"Tully, NY 13159",20 State Street
,,Tri-Valley Central School District, (845) 985-2296,PK-12,"Grahamsville, NY 12740",34 Moore Hill Road
,,Tonawanda City School District, (716) 694-7784,PK-12,"Tonawanda, NY 14150",100 Hinds Street
,,Tioga Central School District, (607) 687-8000,PK-12,"Barton, NY 13734",3 5th Avenue
,,Ticonderoga Central School District, (518) 585-7400,PK-12,"Ticonderoga, NY 12883",5 Calkins Place
,,Taconic Hills Central School District, (518) 325-2891,PK-12,"Craryville, NY 12521",73 County Route 11A
,,Three Village Central School District, (631) 730-4010,K-12,"Stony Brook, NY 11790",100 Suffolk Avenue
,,Syosset Central School District, (516) 364-5605,K-12,"Syosset, NY 11791",99 Pell Lane
,,Syracuse City School District, (315) 435-4161,PK-12,"Syracuse, NY 13204",1025 Erie Boulevard West
,,Thousand Islands Central School District, (315) 686-5594,K-12,"Clayton, NY 13624",8483 County Route 9
,,Town Of Webb Union Free School District, (315) 369-3222,K-12,"Old Forge, NY 13420",3002 Main St
,,Sweet Home Central School District, (716) 250-1402,K-12,"Buffalo, NY 14228",1901 Sweet Home Road
,,Sullivan West Central School District, (845) 482-4610,PK-12,"Jeffersonville, NY 12748",33 Schoolhouse Road
,,Stockbridge Valley Central School District, (315) 495-4400,K-12,"Munnsville, NY 13409",6011 Williams Road
,,Susquehanna Valley Central School District, (607) 775-0170,K-12,"Conklin, NY 13748",1040 Conklin Road
,,Stillwater Central School District, (518) 373-6100,PK-12,"Stillwater, NY 12170",1068 Hudson Avenue
,,Stamford Central School District, (607) 652-7301,PK-12,"Stamford, NY 12167",1 River Street
,,Springville-Griffith Institute Central School District, (716) 592-3230,K-12,"Springville, NY 14141",307 Newman Street
,,Springs Union Free School District, (631) 324-0144,PK-8,"East Hampton, NY 11937",48 School Street
,,St Regis Falls Central School District, (518) 856-9421,PK-12,"Saint Regis Falls, NY 12980",92 North Main Street
,,Spencerport Central School District, (585) 349-5102,K-12,"Spencerport, NY 14559",71 Lyell Avenue
,,Starpoint Central School District, (716) 210-2352,K-12,"Lockport, NY 14094",4363 Mapleton Road
,,Spencer-Van Etten Central School District, (607) 589-7100,PK-12,"Spencer, NY 14883",16 Dartts Crossroad
,,Spackenkill Union Free School District, (845) 463-7800,K-12,"Poughkeepsie, NY 12603",15 Croft Road
,,Southwestern Central School District At Jamestown, (716) 484-1136,PK-12,"Jamestown, NY 14701",600 County Touring Route 32
,,Southold Union Free School District, (631) 765-5400,K-12,"Southold, NY 11971",420 Oaklawn Avenue Extension
,,Southern Cayuga Central School District, (315) 364-7211,PK-12,"Aurora, NY 13026",2384 New York 34B
,,South Seneca Central School District, (607) 869-9636,K-12,"Ovid, NY 14521",7263 Main Street
